"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ign";"Localizado fora do MSP";"Total"
"27_09";5;1;5;1;3;-;1;2;1;-;5;1;4;1;1;4;3;4;9;-;1;3;2;1;4;2;1;2;5;7;3;-;2;1;4;9;5;3;1;-;1;5;4;3;2;1;7;-;-;1;4;-;2;1;4;1;-;-;2;1;3;3;-;3;2;-;2;6;4;-;4;3;1;3;10;3;2;3;2;-;1;2;8;1;6;-;2;-;1;1;6;1;4;5;-;3;-;19;260
"28-09";12;4;9;18;16;1;10;5;3;2;36;4;21;3;8;21;22;14;34;15;6;26;12;30;14;9;15;18;17;33;6;5;18;21;21;31;27;8;-;3;31;26;21;11;34;14;17;5;3;12;14;-;13;15;6;4;5;16;11;12;18;9;12;37;16;5;11;9;23;16;20;14;9;28;25;7;18;38;17;1;5;10;22;11;11;15;27;9;21;11;12;21;11;8;15;14;30;51;1485
"29_09";9;2;1;17;19;5;8;5;3;2;29;8;10;4;2;6;17;13;17;6;10;22;6;12;12;8;10;12;14;17;12;10;5;9;16;27;28;12;1;5;24;27;11;8;24;17;23;6;7;12;12;-;6;8;5;14;1;7;20;5;12;8;12;24;14;5;5;9;21;5;11;4;14;17;18;10;7;33;12;3;4;14;26;6;5;22;9;4;14;6;9;11;25;16;18;8;43;35;1187
"30_09";8;6;14;20;15;1;6;6;2;5;22;2;11;7;12;11;14;21;25;8;11;18;14;17;7;7;11;13;17;21;9;12;8;14;22;21;17;1;6;2;16;20;20;15;29;10;20;5;5;8;13;-;15;9;7;3;4;11;11;11;16;4;15;12;16;7;6;12;30;8;17;10;9;22;19;15;6;16;7;2;4;18;17;8;14;11;10;7;14;4;4;18;17;13;8;7;35;27;1181
"01_10";7;2;5;12;13;-;15;6;-;4;11;5;15;2;7;11;32;6;18;6;10;12;7;22;18;5;14;8;9;23;13;5;5;11;13;20;14;9;3;1;15;14;9;4;21;12;21;6;6;9;5;-;12;8;5;2;-;10;13;9;6;5;6;15;12;10;2;11;14;5;11;12;8;7;19;4;4;26;4;2;1;8;7;3;7;11;10;3;11;6;4;9;11;18;11;12;26;26;947
"02_10";11;2;9;11;11;5;12;6;2;4;11;5;14;1;5;8;7;19;27;11;7;9;14;14;10;4;13;13;11;17;6;6;9;9;12;16;24;5;2;3;10;6;16;10;36;14;33;15;6;4;7;-;43;10;12;1;2;8;8;10;11;5;8;19;5;9;8;11;29;10;13;10;7;13;18;12;6;27;17;1;4;9;7;3;13;17;11;5;26;4;8;9;15;5;16;13;55;27;1122
"03_10";-;1;5;8;9;-;1;1;-;-;8;3;2;-;-;3;12;9;12;2;4;6;4;8;5;1;9;4;-;8;3;4;3;2;8;7;3;2;-;1;5;8;11;2;6;8;4;5;1;2;2;-;1;-;1;2;4;2;2;4;7;3;2;10;5;4;-;6;10;1;18;6;2;7;7;10;5;3;8;-;2;2;4;1;3;5;-;2;12;-;3;5;5;1;5;3;72;11;478
"04_10";2;-;4;2;4;-;1;1;-;-;2;-;4;-;3;3;6;5;10;-;-;5;3;2;3;2;8;1;1;8;5;1;4;4;3;1;8;-;-;-;2;2;2;4;3;2;2;-;-;1;2;-;2;-;1;1;-;-;2;2;1;-;1;5;2;-;3;-;6;1;-;-;1;2;5;4;3;3;2;-;-;1;-;6;2;3;2;2;1;3;2;-;3;6;-;2;3;9;218
"05_10";15;3;2;8;22;4;14;7;6;5;22;7;8;3;4;11;22;19;50;16;9;16;16;21;16;7;20;12;14;25;10;7;12;3;21;28;17;11;1;3;18;20;6;21;21;18;7;8;7;4;16;-;8;11;4;4;5;16;21;10;17;3;9;31;9;7;6;17;20;9;10;8;9;25;26;6;25;30;9;-;3;9;18;3;16;11;17;4;13;5;9;10;19;12;14;10;21;43;1255
"06_10";8;1;6;16;13;3;3;4;3;1;11;4;7;1;8;11;17;22;16;8;7;17;9;14;29;6;8;16;15;24;7;6;12;11;11;18;17;6;-;3;16;23;11;7;17;11;12;7;2;8;4;-;8;7;10;4;2;9;4;13;5;5;3;16;6;7;6;16;38;12;13;18;8;15;13;8;7;26;21;1;5;14;9;6;18;9;12;4;8;4;6;13;17;6;11;10;13;17;1000
