"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhangüera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jacanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Angela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Total"
"10_09";16;4;6;19;18;2;9;16;3;1;34;4;13;1;3;10;19;25;40;13;10;17;15;20;14;5;10;13;22;21;18;10;13;8;16;39;11;13;3;2;26;24;10;8;22;12;11;6;4;19;13;-;9;7;4;8;4;11;10;26;9;25;4;21;13;10;5;12;18;4;12;11;15;43;20;10;20;45;10;4;2;18;21;14;9;17;13;9;14;5;4;18;25;17;19;11;1297
"11_09";4;4;1;13;11;2;22;8;2;2;26;1;15;2;6;12;16;14;25;17;5;22;18;9;12;4;13;20;11;20;7;6;13;12;16;33;19;11;3;4;12;16;20;5;23;10;11;7;6;6;12;-;8;12;8;6;5;13;11;12;12;3;6;24;12;13;5;9;26;6;10;8;18;18;11;12;8;29;14;8;4;15;14;6;10;16;12;2;9;7;13;4;17;14;12;14;1085
"12_09";-;-;-;7;9;1;2;1;2;1;8;3;8;1;5;-;6;10;8;6;-;8;5;6;8;2;1;10;4;9;5;8;6;5;2;4;4;1;2;-;8;11;9;6;2;2;12;2;1;-;4;-;2;2;-;2;1;2;5;9;2;3;1;9;2;5;1;4;5;1;6;4;1;5;11;6;4;23;12;1;1;1;10;1;3;4;7;4;4;-;2;7;6;2;4;1;411
"13_09";4;-;1;1;3;1;-;-;-;1;-;2;4;-;-;2;8;2;5;1;1;8;10;2;1;1;-;2;2;9;3;2;-;2;1;5;-;3;-;-;2;9;1;1;4;2;5;3;2;4;-;-;1;1;-;-;-;2;3;4;6;6;2;8;3;1;5;5;4;2;1;1;4;3;9;3;2;7;2;2;1;4;1;1;3;3;4;2;-;-;2;3;1;-;2;3;237
"14_09";15;8;3;21;22;4;20;9;4;12;26;1;18;3;12;10;36;18;36;25;13;26;26;16;8;10;16;18;22;19;14;4;26;20;11;37;28;13;5;4;22;35;14;11;33;16;21;8;10;12;8;1;16;14;6;8;-;16;12;22;8;15;5;13;22;8;3;13;33;9;12;9;14;27;25;9;7;45;17;2;1;16;27;5;12;13;19;7;17;5;9;15;15;9;10;11;1411
"15_09";8;4;5;17;13;4;5;3;3;2;27;4;17;3;4;9;16;15;29;16;9;27;9;16;15;6;13;17;20;22;13;9;8;8;9;14;20;8;5;4;21;18;12;8;21;12;14;5;6;6;7;-;3;12;4;4;-;9;8;14;13;10;6;25;26;7;6;11;22;5;7;5;9;21;18;17;19;40;8;-;3;6;20;7;9;13;14;2;9;5;13;7;7;9;10;12;1061
"16_09";10;5;6;6;12;5;7;6;1;1;27;6;8;1;8;10;22;12;27;12;11;17;17;11;10;5;4;6;18;23;11;6;10;14;10;23;25;8;2;3;21;13;17;7;27;5;15;7;5;7;7;-;6;10;7;2;3;9;9;11;11;3;9;21;11;5;6;13;23;8;14;3;11;19;15;9;20;27;10;2;3;10;24;6;9;9;15;1;8;4;6;12;9;12;14;15;1011
"17_09";9;2;3;11;18;3;5;3;1;2;19;4;8;6;1;13;23;14;30;8;6;38;20;17;8;6;8;14;21;22;7;5;13;16;10;17;17;12;1;5;20;24;5;10;23;13;14;10;7;9;6;-;14;13;9;5;1;7;7;16;11;6;6;19;13;8;9;12;18;9;5;5;10;22;7;4;14;40;12;1;1;14;27;6;16;12;8;3;8;7;12;13;13;13;20;8;1071
"18_09";13;9;1;11;10;3;9;3;5;3;18;4;5;4;5;4;29;9;26;10;3;24;17;13;13;7;7;8;17;22;5;6;12;17;6;12;29;6;1;4;15;19;15;12;21;12;9;5;7;8;5;1;16;12;12;5;2;7;8;10;17;15;12;19;10;9;6;8;24;8;22;6;12;27;18;5;9;29;10;-;-;10;13;7;11;11;13;4;10;7;4;10;12;7;11;13;1020
"19_09";1;2;-;4;8;2;1;2;1;1;2;2;1;1;5;3;-;6;8;8;1;2;3;5;4;2;3;8;7;8;2;6;2;1;2;10;7;4;-;-;7;8;6;3;9;5;1;1;3;5;6;-;6;4;1;2;-;1;15;1;5;2;1;10;5;7;3;1;10;2;2;1;1;3;4;2;2;12;1;1;2;-;2;4;4;5;3;-;3;-;4;2;7;3;4;2;339
"20_09";3;-;3;1;3;-;1;4;-;1;7;-;2;4;3;6;6;4;7;-;1;1;4;2;3;2;5;3;3;10;2;2;1;-;1;4;2;-;-;3;3;10;2;1;-;2;6;3;3;3;4;-;3;2;-;1;-;-;1;2;2;2;2;3;2;2;1;2;6;3;5;1;1;5;7;2;1;5;2;2;1;2;7;3;2;5;1;3;4;-;8;5;2;2;3;1;255
"21_09";9;6;-;14;13;2;11;2;8;6;42;3;14;6;10;10;13;21;24;15;2;29;14;16;22;5;8;15;22;30;14;5;12;12;19;14;32;12;2;2;17;9;18;16;45;10;20;5;4;6;13;1;11;10;7;9;2;6;11;18;15;9;8;15;23;8;10;17;31;9;15;13;9;20;23;8;16;29;19;1;4;17;23;11;15;19;18;6;20;5;9;23;15;11;18;14;1280
"22_09";6;2;2;14;13;1;5;6;3;7;21;6;14;4;8;12;15;10;13;9;9;24;10;17;8;7;11;17;19;13;12;7;9;8;13;27;12;7;2;1;12;17;10;18;15;8;15;3;7;7;8;-;4;19;6;4;1;4;5;14;16;3;4;21;14;6;3;15;24;7;11;3;8;16;25;2;16;37;5;-;1;13;25;10;19;20;14;4;6;4;2;20;12;10;14;7;998
"23_09";6;1;7;11;9;3;10;5;2;2;16;5;15;3;7;6;11;9;17;11;12;9;6;21;10;5;4;12;20;21;10;5;5;9;7;19;14;7;2;3;9;17;7;70;25;18;11;7;6;5;9;-;5;16;6;8;3;10;6;6;13;6;6;17;16;3;3;8;18;6;19;6;9;17;20;6;17;25;9;1;2;13;24;10;8;16;13;3;8;4;10;19;8;8;7;18;997
"24_09";10;11;5;11;12;2;13;4;5;3;21;6;8;4;8;13;24;9;17;10;6;17;8;16;21;3;12;13;7;11;7;10;11;8;10;30;23;5;2;3;16;7;17;38;23;4;11;4;6;16;6;-;6;9;10;14;-;9;4;18;12;8;7;18;14;5;2;13;33;10;5;4;8;27;14;6;12;36;9;1;4;19;30;5;8;14;13;3;11;6;4;8;13;9;14;6;1048
"25_09";15;3;1;10;18;3;5;4;1;3;23;4;8;4;3;4;12;11;13;16;11;8;8;22;11;8;5;17;12;12;13;9;7;6;11;19;17;5;-;2;13;4;15;11;16;8;12;2;8;8;8;-;4;9;4;2;2;12;7;10;14;5;4;21;13;7;3;17;26;4;5;9;7;11;13;4;12;24;8;1;1;9;14;7;9;13;12;2;13;4;7;13;13;5;14;12;875
"26_09";7;-;-;5;2;-;-;1;1;-;11;2;2;-;1;4;7;6;8;4;-;-;3;4;7;1;7;5;4;8;5;1;6;4;4;3;5;3;-;1;6;5;5;2;5;2;3;3;-;2;3;1;2;7;-;2;-;-;3;8;5;2;2;6;2;4;1;2;10;2;1;1;4;2;7;1;1;13;4;-;1;3;7;1;2;7;4;-;2;3;3;2;5;2;3;-;306
"27_09";4;1;1;1;3;-;1;2;-;-;5;-;3;-;-;3;2;3;2;-;1;1;1;1;1;2;1;-;5;4;2;-;1;1;3;8;5;2;1;-;1;5;3;3;1;1;4;-;-;1;4;-;2;1;4;1;-;-;-;1;2;3;-;3;-;-;2;6;2;-;2;1;1;3;10;3;2;3;2;-;1;2;7;-;6;-;1;-;-;1;3;-;4;1;-;3;177
"28-09";11;4;6;16;16;1;10;5;3;2;33;4;20;3;8;20;15;13;20;15;6;16;10;28;10;9;12;17;17;27;6;5;15;19;17;29;24;8;-;3;28;12;16;11;18;12;13;4;3;12;13;-;13;14;4;4;5;14;2;12;17;6;12;28;9;4;11;8;17;14;20;11;6;28;25;7;11;32;15;1;5;9;21;8;11;15;27;8;18;11;12;20;9;8;13;12;1202
"29_09";9;1;-;15;12;5;7;5;3;2;26;7;10;4;3;2;13;12;11;5;10;10;4;11;8;5;5;8;13;13;11;8;4;6;14;26;24;11;1;4;18;19;9;7;18;13;20;5;7;12;11;-;6;7;4;14;1;6;8;2;11;8;11;17;9;5;4;8;19;5;10;4;13;15;15;8;6;32;9;3;4;13;26;6;5;20;10;4;7;5;7;8;24;15;18;7;926
"30_09";8;4;11;19;9;1;6;5;2;5;22;2;11;7;12;11;14;17;17;8;9;14;14;17;5;7;11;12;16;20;8;7;8;14;18;17;16;1;6;2;16;9;15;15;20;5;11;2;5;8;12;-;14;9;5;3;4;11;6;11;14;4;13;11;10;6;6;11;24;7;15;7;9;20;20;9;6;15;6;2;3;18;15;7;14;8;9;7;11;3;3;13;16;13;8;7;964
"01_10";7;2;1;11;7;-;14;6;-;4;8;5;14;2;7;10;20;5;12;6;10;7;7;22;6;5;9;8;8;20;12;5;7;11;9;20;11;6;2;1;14;7;8;2;15;10;19;6;6;8;5;-;12;8;5;2;-;9;11;9;6;5;3;15;11;8;2;7;9;5;8;10;7;6;19;4;4;22;4;2;1;8;5;3;7;11;10;3;9;5;5;10;10;8;10;11;756
"02_10";9;2;4;10;7;5;12;5;2;4;10;2;13;1;5;8;5;15;14;11;7;8;11;7;6;4;10;8;10;11;6;5;9;5;9;9;18;4;2;2;9;4;12;8;25;8;31;14;6;4;7;-;43;9;12;1;2;8;4;6;10;4;8;17;4;5;7;9;24;9;11;9;4;12;17;9;5;23;14;1;2;5;4;2;12;10;10;2;16;4;6;8;10;3;15;12;831
"03_10";-;1;2;8;6;-;1;-;-;-;4;2;2;-;-;2;10;7;5;2;3;6;4;7;5;1;7;3;-;6;3;4;3;-;5;3;2;1;1;-;5;4;5;1;1;5;2;4;1;2;2;-;-;-;-;2;4;2;2;3;3;3;-;4;2;1;-;3;8;-;2;3;2;6;6;1;4;3;7;-;2;2;2;1;2;1;-;1;1;-;1;4;5;2;3;3;249
"04_10";2;-;-;2;2;-;1;1;-;-;2;-;3;-;3;3;6;4;7;-;-;5;3;2;2;2;2;1;1;6;3;1;4;2;3;1;8;-;-;-;1;1;1;2;2;2;2;-;-;1;1;-;2;-;1;1;-;-;2;2;1;-;1;5;1;-;3;-;7;1;-;-;-;1;5;1;3;3;2;-;-;1;-;4;2;3;1;1;1;3;1;-;3;2;-;2;161
"05_10";15;3;-;7;17;3;14;7;5;4;19;6;8;3;4;8;17;16;29;14;8;12;13;21;9;6;14;11;14;16;10;6;8;3;16;26;16;2;1;3;17;18;5;7;15;13;4;8;7;4;13;-;7;11;4;2;5;14;19;10;13;3;8;28;7;6;6;14;18;8;10;7;8;24;23;4;24;27;10;-;3;8;14;3;16;10;16;4;10;5;6;9;19;9;13;10;1000
"06_10";8;1;-;12;9;3;3;4;3;1;10;3;6;1;7;10;13;20;7;7;7;14;7;14;20;6;8;10;15;19;7;4;10;9;6;18;17;5;-;3;16;7;11;6;16;10;7;7;2;8;3;-;8;7;10;4;2;6;4;13;5;3;3;15;6;7;6;15;27;12;11;18;7;14;11;7;4;24;21;1;5;13;8;6;16;8;11;4;7;4;6;11;15;6;10;9;830
"07_10";12;3;-;11;11;5;8;6;2;8;15;2;3;6;2;9;12;10;12;14;4;8;8;12;11;4;5;13;13;18;19;6;5;13;3;15;10;7;3;1;20;5;5;7;25;14;16;8;8;4;8;-;3;10;8;2;-;6;11;10;15;2;14;20;6;6;4;12;17;11;3;2;6;19;8;7;7;27;11;2;-;11;12;5;13;13;20;2;8;-;6;5;12;8;14;5;832
"08_10";6;5;3;10;12;5;9;4;3;1;13;6;5;4;6;4;28;6;12;27;7;8;10;4;14;2;17;14;11;16;5;7;9;14;4;9;10;5;1;1;14;7;9;7;9;4;7;2;6;5;4;-;8;11;8;2;2;6;7;17;10;3;11;7;5;7;3;12;25;3;6;8;8;15;14;10;7;12;14;1;1;16;5;10;11;6;16;2;7;2;1;12;8;3;17;8;778
"09_10";4;7;6;7;14;5;7;6;1;3;11;2;8;2;8;6;8;6;45;12;5;5;8;10;14;10;13;5;14;9;8;7;10;12;5;18;16;1;1;1;8;14;11;10;17;6;24;4;3;6;4;-;8;8;5;4;-;8;6;18;6;3;11;10;7;5;3;15;33;8;2;3;1;23;19;8;13;19;7;-;-;11;10;5;13;12;12;2;4;1;1;12;13;6;7;9;818
"10_10";2;-;1;6;1;-;3;1;5;2;6;1;4;2;3;4;4;4;4;2;5;10;4;6;5;3;4;4;12;3;-;5;3;5;1;6;4;2;2;4;5;2;6;4;8;4;1;1;1;5;3;-;1;3;4;4;2;1;-;3;2;6;9;4;3;3;2;1;8;1;2;2;4;1;7;5;4;5;4;-;-;-;4;3;6;2;4;2;3;3;1;6;5;-;1;2;316
"11_10";1;-;-;3;1;-;5;2;-;-;1;1;2;3;-;1;2;1;2;-;-;2;5;-;-;2;1;2;4;12;1;-;3;5;-;1;7;-;1;1;1;3;1;2;2;-;1;1;1;1;1;-;3;1;2;1;-;-;-;1;-;2;1;2;1;-;-;2;3;-;2;1;-;-;1;2;4;4;1;2;-;1;-;-;2;1;-;2;1;1;1;2;2;1;1;3;140
"12_10";-;1;1;1;4;-;4;-;-;-;3;1;1;1;2;1;8;3;13;4;2;4;4;2;5;1;6;3;3;5;2;-;5;1;1;13;7;2;-;-;5;3;-;-;3;4;6;1;1;1;-;-;-;3;1;-;1;2;-;4;1;2;3;3;3;3;3;6;7;1;2;1;3;1;7;4;3;7;1;-;-;3;2;1;2;3;2;1;2;1;1;3;6;-;9;2;248
"13_10";6;7;2;15;17;9;9;4;2;4;20;5;6;3;8;11;20;24;35;12;6;16;10;12;19;3;13;11;18;29;23;3;16;12;2;16;28;3;-;4;21;25;9;9;25;19;19;8;7;20;4;-;11;8;6;6;1;9;10;11;6;3;12;23;9;13;2;11;34;8;7;12;10;27;28;1;41;53;21;-;3;18;14;10;11;13;13;2;9;4;5;13;25;7;15;10;1184
"14_10";3;4;1;10;16;6;10;3;2;5;40;7;13;3;4;11;18;14;28;12;6;23;23;12;25;2;10;10;20;30;14;9;15;20;18;25;30;6;4;4;9;18;19;14;17;10;36;16;2;10;12;-;17;4;7;6;2;8;6;8;12;6;5;32;12;13;8;14;23;6;81;14;19;15;21;19;12;23;19;1;4;11;15;12;8;39;9;6;16;5;9;9;8;10;15;7;1275
"15_10";4;2;2;9;7;6;6;3;-;2;15;7;10;4;4;9;11;5;19;14;3;14;37;10;8;4;13;7;8;58;10;1;5;13;6;13;19;3;3;2;18;10;7;7;20;4;4;22;3;10;5;-;11;2;8;8;3;4;3;10;15;15;6;19;6;7;4;11;23;6;6;9;12;14;13;4;9;28;12;-;2;6;13;3;19;7;9;4;6;4;3;6;9;3;17;16;881
"16_10";10;7;-;13;16;2;6;4;1;3;15;7;9;5;5;12;17;10;43;9;1;18;13;6;8;5;6;14;27;40;10;4;15;13;10;15;20;7;2;2;13;10;10;11;24;5;9;23;7;16;6;-;10;8;8;8;2;12;8;15;17;8;3;17;2;9;4;13;20;5;4;5;6;9;12;6;6;24;17;-;2;15;8;7;22;25;7;5;6;1;1;11;12;3;10;12;969
"17_10";4;1;-;-;6;-;2;1;-;-;22;1;6;-;1;6;12;2;5;8;1;17;6;1;6;1;-;5;9;16;3;4;3;2;3;5;6;1;1;-;14;7;4;2;2;2;7;3;1;-;1;-;-;1;14;23;-;1;3;4;2;4;4;8;-;4;3;-;10;5;3;1;1;3;8;1;11;10;6;1;5;3;1;-;7;5;1;1;3;1;2;4;2;2;6;74;458
"18_10";-;1;-;3;3;1;4;-;-;1;2;4;2;2;1;1;-;1;8;2;-;-;2;-;2;1;2;2;1;1;-;-;4;3;1;-;1;1;-;-;1;2;-;3;3;-;1;3;-;1;-;-;-;3;1;2;-;-;-;-;2;3;1;1;-;1;10;2;7;2;-;4;1;2;3;2;6;3;3;-;-;5;1;-;2;2;-;-;-;1;1;3;-;-;2;1;148
"19_10";10;5;6;13;6;6;8;5;2;1;42;5;16;2;7;7;14;6;32;20;3;16;10;11;16;6;6;4;17;22;7;3;14;15;6;18;14;6;4;6;17;14;8;10;19;13;14;18;5;5;11;-;14;11;11;2;2;9;31;14;8;8;5;15;3;7;14;14;30;23;8;4;32;15;13;7;2;59;27;-;4;5;10;4;17;18;16;2;6;2;9;16;7;3;26;14;1098
"20_10";4;2;2;7;4;5;6;3;3;3;20;5;8;7;5;8;16;9;40;11;5;14;8;3;9;7;13;4;25;20;7;2;10;14;19;4;20;2;-;1;31;4;6;6;18;2;10;10;7;9;6;1;7;4;4;4;1;9;6;9;8;16;10;23;3;14;20;10;28;3;4;8;12;7;6;1;20;16;11;1;3;4;7;9;11;17;18;8;7;6;4;10;12;7;31;21;905
"21_10";6;5;-;5;6;4;9;5;6;6;31;1;15;-;2;11;15;12;41;14;2;12;12;14;6;3;5;6;23;19;4;4;4;4;2;17;10;10;-;4;20;13;13;10;13;9;6;18;4;9;5;-;7;4;1;3;-;7;7;12;20;5;7;22;7;5;4;9;17;5;6;3;18;8;19;1;11;21;12;3;2;11;12;4;9;14;10;7;4;1;3;12;8;12;17;14;859
"22_10";7;5;3;9;6;13;7;5;3;-;30;5;12;3;7;12;17;13;44;21;3;18;14;11;4;7;5;6;26;21;4;9;13;9;42;13;29;5;5;4;50;7;9;12;20;2;9;8;4;10;7;-;14;3;10;2;-;6;13;12;16;11;9;24;6;4;3;14;25;4;8;8;31;20;15;18;21;28;12;3;2;13;15;6;12;17;27;4;16;2;5;23;5;7;10;10;1122
"23_10";7;2;5;15;7;5;12;10;4;3;18;8;12;2;13;16;26;7;31;22;5;20;12;11;9;9;24;11;42;14;13;4;23;9;29;18;35;10;4;2;23;12;13;15;16;12;6;8;4;8;6;1;19;3;11;5;3;7;9;12;14;9;8;25;5;6;22;13;46;9;11;3;16;19;19;3;6;25;19;2;3;25;12;3;21;17;17;7;4;8;8;23;17;4;8;21;1200
"24_10";3;1;2;7;3;1;3;1;-;2;7;5;2;2;5;3;4;2;11;7;1;5;6;2;6;1;1;4;8;11;1;4;3;2;1;5;9;1;1;3;8;2;5;4;12;2;1;5;2;1;2;-;11;-;-;2;1;5;4;8;1;9;2;12;1;5;-;3;8;2;3;2;4;3;8;9;3;5;8;-;1;3;3;3;5;7;3;1;7;2;1;4;1;5;-;2;357
"25_10";1;-;1;1;-;-;1;2;1;-;1;3;6;-;6;9;3;-;7;-;1;-;3;-;-;-;1;-;2;2;-;2;1;4;2;3;1;-;2;-;6;-;8;1;1;4;1;1;1;-;-;-;1;2;1;1;1;-;2;-;3;1;-;10;4;-;1;3;3;2;5;-;5;3;7;2;1;1;1;-;-;1;1;-;8;4;3;-;-;1;-;-;1;2;-;4;174
"26_10";8;4;3;17;13;3;12;12;3;2;36;4;6;5;11;8;23;14;57;9;4;23;21;10;8;8;9;9;29;17;19;8;11;22;17;16;22;7;5;6;28;14;11;9;23;9;5;12;3;4;-;1;17;10;8;6;-;7;13;10;20;13;11;22;7;11;2;17;33;8;13;13;12;18;17;10;28;39;10;-;3;13;19;5;23;20;17;2;8;-;7;8;15;10;7;14;1186
"27_10";7;4;2;16;10;-;4;-;-;4;26;3;10;2;9;10;26;13;45;8;4;15;31;8;9;2;11;5;21;26;8;5;11;10;4;16;27;12;3;4;26;13;11;9;19;12;13;16;5;7;5;-;15;6;5;8;3;11;12;7;14;6;5;32;6;17;7;12;38;8;5;7;11;10;7;4;7;13;13;2;1;7;9;3;12;16;14;-;9;5;4;14;13;6;12;10;993
"28_10";2;4;2;16;11;5;10;7;1;5;26;4;9;2;5;14;9;10;18;7;4;6;15;4;17;3;10;8;19;23;5;8;12;10;16;7;14;5;1;2;28;14;6;11;13;4;6;10;3;6;3;-;12;4;9;16;-;13;7;11;6;9;11;14;5;9;5;11;40;3;5;3;7;17;15;1;27;25;14;3;4;11;10;12;24;10;10;2;5;8;4;10;6;7;16;12;913
"29_10";8;3;1;8;6;3;12;4;1;4;19;5;4;4;15;14;15;11;32;10;7;8;17;10;11;3;9;5;23;7;4;2;15;21;9;11;18;12;5;2;24;11;7;18;11;2;4;10;8;9;4;1;10;4;7;6;1;4;10;19;14;7;10;19;1;7;3;10;33;8;4;8;3;7;12;8;7;20;9;-;2;12;4;8;13;8;10;3;15;3;1;11;10;7;11;10;866
"30_10";9;5;5;8;8;2;3;1;3;-;4;4;4;5;5;10;14;5;16;11;5;6;13;10;3;5;10;1;12;13;3;2;14;15;2;11;13;-;1;-;19;6;7;7;7;8;6;9;2;2;4;-;13;9;9;6;1;10;-;10;22;3;7;16;9;6;2;8;15;5;4;6;4;13;9;3;8;24;18;-;2;8;4;10;7;8;10;3;4;4;3;11;9;3;8;14;686
"31_10";2;1;1;8;6;-;2;1;-;-;3;-;1;-;3;2;9;3;6;3;2;3;4;2;2;-;1;1;9;2;4;2;5;6;1;1;8;2;-;-;13;4;5;3;2;3;2;2;2;1;-;-;3;1;1;7;-;4;-;2;-;5;2;6;-;-;-;1;6;-;1;1;2;2;2;-;2;7;4;1;1;5;1;-;5;3;2;3;-;1;-;4;5;-;1;4;238
"01_11";-;-;-;3;2;-;1;1;-;1;3;1;4;2;-;1;4;-;3;2;-;4;3;1;-;1;3;-;4;4;-;2;3;2;1;2;-;4;1;-;5;-;-;-;3;1;-;1;2;2;-;-;1;-;1;1;-;-;-;1;1;2;7;2;-;-;-;1;4;-;2;7;1;1;4;1;3;5;2;1;-;-;3;1;2;1;2;-;-;-;2;2;5;2;-;3;148
"02_11";1;2;-;6;2;1;2;1;-;3;12;-;-;3;2;6;7;8;8;2;3;5;2;3;1;2;4;2;4;7;-;-;6;4;4;5;2;1;2;-;7;6;4;2;14;2;2;1;-;-;-;-;3;1;2;1;-;2;4;1;-;6;1;3;1;2;2;4;7;3;-;6;6;3;4;-;2;13;4;-;3;2;1;4;6;3;2;1;1;1;-;8;5;2;2;3;286
"03_11";5;3;1;8;8;4;2;3;1;4;10;4;5;2;8;4;20;9;18;8;8;11;9;10;13;10;6;9;28;6;12;4;13;13;3;13;16;6;1;1;24;9;16;11;18;9;4;8;2;6;6;-;16;8;3;7;1;7;3;12;16;6;8;22;5;6;-;10;16;11;14;4;9;6;8;2;10;23;19;1;2;14;6;8;12;9;14;4;12;1;5;14;10;6;7;15;824
"04_11";3;1;4;2;4;3;6;1;1;-;11;2;10;3;9;8;8;7;6;6;4;8;8;4;5;1;8;6;6;5;1;2;7;14;3;6;8;10;1;-;21;1;1;8;9;3;2;10;6;3;4;-;11;2;8;3;-;3;8;7;7;4;14;14;3;2;2;3;24;7;5;7;10;8;6;6;16;17;9;-;4;10;3;4;12;3;9;2;5;10;2;13;10;1;11;3;578
"05_11";-;3;1;-;1;-;1;-;1;-;2;1;-;1;1;2;1;-;3;-;-;1;1;-;-;2;2;-;1;4;-;-;3;6;-;-;-;-;-;-;4;1;-;5;2;-;-;3;2;-;1;-;5;-;2;2;-;-;1;-;1;-;1;5;-;1;-;1;8;-;-;2;-;-;3;-;1;1;2;1;2;-;1;1;1;-;1;-;-;-;-;3;1;-;1;1;105
"06_11";-;-;-;-;1;1;-;1;-;-;2;-;-;-;5;2;3;1;1;-;-;-;1;-;-;1;-;-;1;2;-;-;-;1;-;2;2;-;-;-;2;1;-;-;2;1;-;-;2;2;1;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;2;-;-;1;1;4;1;1;-;-;-;1;1;-;-;-;-;-;5;1;1;-;2;-;1;2;-;-;-;-;66
"07_11";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;2;-;-;2;-;-;2;1;-;-;-;1;1;1;1;-;-;-;2;1;-;3;-;-;-;1;-;-;-;2;-;1;1;-;-;-;-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;2;-;3;-;1;-;-;3;-;-;-;-;41
"08_11";-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;3;-;-;-;1;22
"09_11";1;-;-;-;-;-;2;-;-;-;-;1;2;1;-;2;-;1;2;-;-;2;2;1;1;-;4;1;-;-;-;-;1;1;1;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;1;3;-;-;-;3;1;-;2;-;1;-;-;-;3;-;-;1;-;-;2;-;-;1;1;2;-;1;-;1;-;-;-;3;2;-;1;-;61
"10_11";8;2;5;6;3;2;19;4;2;3;20;4;6;7;13;13;14;10;7;5;7;10;5;5;6;14;8;9;9;13;1;8;8;28;7;12;5;4;1;4;12;12;5;28;20;3;7;9;7;7;11;-;25;12;13;8;1;4;9;7;13;-;9;18;4;8;6;17;24;6;17;12;6;9;7;9;3;11;16;-;5;18;8;7;17;9;5;7;6;4;6;24;14;10;9;22;883
"11_11";9;7;1;4;5;4;11;2;-;6;7;4;13;5;14;11;17;5;12;8;8;7;4;3;5;6;11;4;15;9;2;4;16;16;5;15;16;10;1;2;7;10;10;14;18;7;5;10;9;5;7;-;22;19;8;4;1;3;2;9;12;1;16;9;7;4;7;11;14;13;11;14;3;7;13;3;11;11;18;1;1;15;19;8;19;4;9;7;8;6;5;13;5;7;9;13;808
"12_11";19;12;1;3;4;8;8;3;5;4;11;6;7;4;15;14;18;3;14;20;8;17;7;7;5;10;5;5;11;9;1;-;13;29;4;14;17;9;2;3;7;4;8;15;15;9;7;14;16;3;5;-;27;13;18;8;-;2;6;7;18;4;20;16;6;12;12;15;17;18;12;14;14;11;9;6;9;17;15;-;10;14;8;12;46;7;9;4;3;18;5;24;5;3;14;29;995
"13_11";4;7;1;5;6;-;11;6;1;3;3;4;19;1;13;10;17;8;22;9;5;11;7;6;2;8;4;4;8;12;2;5;7;15;2;-;9;7;-;2;7;21;1;14;16;3;2;9;5;8;12;-;14;7;10;1;2;3;3;6;21;-;12;13;9;5;7;10;15;16;21;15;4;15;7;4;11;13;14;3;3;9;13;5;19;2;6;7;4;2;6;24;13;6;10;15;769
"14_11";5;1;-;1;-;2;5;6;1;-;5;6;-;1;8;4;10;3;6;7;3;3;2;1;-;1;6;1;3;2;2;1;1;5;-;7;4;-;1;-;-;4;-;8;2;-;2;5;1;4;2;-;17;1;12;-;-;-;2;1;4;-;4;2;1;1;4;6;6;-;3;6;1;2;3;2;4;4;4;1;3;4;2;3;22;4;4;-;-;2;2;12;5;2;4;4;306
