"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhangüera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jacanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Angela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Total"
"16/06";32;6;26;37;45;5;37;9;10;19;61;14;37;15;18;32;87;50;92;23;15;76;56;69;53;11;43;32;31;104;41;47;22;21;70;116;49;28;10;10;57;99;49;16;95;55;61;25;18;26;28;3;18;25;20;35;8;31;34;31;14;19;20;68;41;31;18;36;76;18;24;18;40;48;64;31;31;110;22;5;6;38;59;25;36;45;25;13;45;10;27;29;39;32;38;42;3536
"17/06";16;5;22;33;29;6;15;14;5;10;45;9;21;5;13;18;41;28;81;20;8;51;43;42;45;10;18;23;30;88;19;39;18;12;69;58;27;16;8;4;42;91;36;20;55;34;33;11;4;14;17;-;15;17;6;33;6;19;29;32;19;21;6;44;19;18;7;28;53;15;21;17;20;46;39;23;47;109;17;2;4;21;55;14;31;33;13;10;33;7;7;19;31;23;23;19;2492
"18/06";10;1;13;29;31;3;8;15;6;9;57;9;11;6;10;21;59;22;69;9;15;52;34;24;56;5;16;31;38;71;25;43;18;19;67;45;25;34;3;13;36;72;24;11;83;32;46;17;13;16;12;-;6;12;6;26;5;12;33;19;17;17;8;39;18;23;10;16;69;6;17;9;19;37;48;20;39;96;10;-;4;33;29;8;30;29;23;10;43;9;22;18;23;21;41;16;2390
"19/06";18;14;15;19;33;3;18;9;4;5;64;5;22;4;10;17;66;21;57;14;19;95;33;36;50;11;18;17;34;90;23;22;25;16;52;60;42;34;2;11;41;75;30;16;61;39;50;24;3;26;14;6;9;10;18;31;3;17;28;33;10;12;13;45;20;31;13;34;46;11;24;19;18;44;47;31;33;90;12;7;5;24;41;12;28;34;23;4;22;11;13;25;23;14;20;30;2531
"20/06";11;3;7;18;11;4;11;5;2;4;23;4;13;4;11;17;38;23;41;8;10;22;15;20;18;9;13;13;8;41;11;26;13;17;36;26;20;7;3;6;35;29;25;24;44;19;15;7;6;10;12;-;14;15;11;12;5;17;11;20;13;2;12;14;13;10;6;7;24;9;14;6;11;14;30;14;19;49;23;1;5;27;16;7;25;21;12;4;20;1;15;18;9;16;18;11;1439
"21/06";4;1;9;5;9;2;4;4;2;-;17;2;11;2;2;3;12;11;25;-;2;7;12;7;10;4;4;15;7;21;10;9;5;7;25;14;20;3;-;-;10;34;15;7;27;8;9;-;2;2;5;-;4;20;3;6;1;3;9;6;9;10;7;9;5;12;2;8;12;2;5;8;2;4;12;16;6;19;2;-;1;7;4;1;7;11;3;7;9;1;8;7;7;8;9;3;721
"22/06";19;6;23;34;41;5;11;11;8;8;74;13;34;6;10;28;92;44;130;18;25;65;65;51;49;9;22;43;29;115;40;57;30;23;77;76;57;34;7;11;69;96;35;28;114;48;56;20;17;20;15;1;18;19;19;36;8;24;43;44;31;27;16;54;25;34;9;20;62;12;19;21;25;66;68;27;38;115;20;4;7;22;55;19;48;61;36;10;47;10;20;32;29;49;36;24;3428
"23/06";24;6;11;25;32;3;15;12;9;7;76;12;38;9;27;22;74;36;92;12;19;64;49;28;60;18;23;34;52;102;36;62;32;24;74;60;36;27;6;12;52;84;38;21;81;52;50;10;8;17;23;4;27;20;11;36;1;22;32;24;17;19;20;47;15;28;20;22;71;22;24;16;19;51;62;19;34;143;22;3;5;29;36;15;41;42;25;12;35;13;15;47;25;32;30;22;3071
"24/06";10;6;19;24;32;7;8;11;10;6;67;8;25;3;9;18;60;31;65;33;22;47;56;43;50;4;21;25;26;117;31;49;31;16;57;72;33;22;4;3;53;70;30;13;76;46;41;23;8;18;19;-;12;22;13;31;2;16;36;34;17;11;10;43;24;28;2;21;61;12;18;17;25;40;56;24;41;94;25;4;5;26;28;15;26;43;28;14;38;10;15;26;19;37;27;25;2699
"25/06";21;7;21;21;28;9;14;20;4;7;79;12;24;6;17;21;69;42;74;26;21;80;53;39;49;9;25;28;44;87;37;44;23;20;62;75;50;18;9;13;43;56;26;14;84;43;55;14;7;22;13;1;16;27;11;39;1;25;36;27;17;27;23;44;26;25;22;17;73;8;24;14;19;39;53;19;32;106;18;4;8;23;39;16;30;54;23;14;39;6;22;20;23;29;22;21;2867
